rank,headword,cefr,freqRank,tier
289,"factor",B2,5813,core
290,"carbon",B2,5836,core
291,"memorial",B2,5853,core
292,"bearing",B2,5856,core
293,"cooperation",B2,5859,core
294,"manual",B2,5875,core
295,"elegant",B2,5876,core
296,"revolutionary",B2,5884,core
297,"crucial",B2,5905,core
298,"fulfill",B2,5909,core
299,"panel",B2,5939,core
300,"welfare",B2,5954,core
301,"devoted",B2,5962,core
302,"circuit",B2,5965,core
303,"scenario",C1,5969,core
304,"pose",B2,5995,core
305,"evolution",B2,6008,core
306,"bartender",B2,6012,core
307,"son-in-law",B2,6028,core
308,"melody",B2,6029,core
309,"translation",B2,6038,core
310,"divided",B2,6051,core
311,"crab",B2,6055,core
312,"cottage",B2,6064,core
313,"amateur",C1,6066,core
314,"rash",B2,6068,core
315,"trophy",B2,6083,core
316,"pudding",B2,6103,core
317,"corporation",B2,6107,core
318,"disorder",B2,6109,core
319,"cease",B2,6113,core
320,"sensible",B2,6116,core
321,"regardless",B2,6133,core
322,"olive",B2,6155,core
323,"biological",B2,6177,core
324,"pad",B2,6180,core
325,"sketch",B2,6190,core
326,"parliament",B2,6191,core
327,"pursuit",B2,6216,core
328,"bombing",B2,6225,core
329,"dash",B2,6232,core
330,"flee",B2,6236,core
331,"gangster",B2,6237,core
332,"buzzer",C1,6253,core
333,"database",B2,6263,core
334,"straighten",B2,6304,core
335,"sentimental",C1,6330,core
336,"substance",B2,6358,core
337,"investigator",B2,6361,core
338,"institution",B2,6368,core
339,"fabric",B2,6375,core
340,"developing",B2,6387,core
341,"addict",B2,6388,core
342,"cope",B2,6390,core
343,"peg",B2,6398,core
344,"ignorant",B2,6421,core
345,"essentially",B2,6455,core
346,"explosive",B2,6471,core
347,"unto",B2,6473,core
348,"x-ray",B2,6475,core
349,"rival",B2,6507,core
350,"purchase",B2,6510,core
351,"elite",B2,6516,core
352,"whisky",B2,6519,core
353,"submit",B2,6534,core
354,"stew",B2,6544,core
355,"peak",B2,6568,core
356,"bolt",B2,6610,core
357,"sharply",B2,6612,core
358,"assembly",B2,6618,core
359,"magnetic",C1,6621,core
360,"ling",B2,6630,core
361,"pumpkin",B2,6640,core
362,"anchor",B2,6643,core
363,"interior",B2,6645,core
364,"gypsy",C1,6651,core
365,"obsession",B2,6665,core
366,"axe",B2,6669,core
367,"whereas",B2,6678,core
368,"decade",B2,6694,core
369,"pine",B2,6695,core
370,"pigeon",C1,6699,core
371,"thrill",B2,6729,core
372,"zip",B2,6732,core
373,"jaw",B2,6740,core
374,"pointless",B2,6745,core
375,"mortgage",B2,6748,core
376,"demanding",B2,6751,core
377,"legendary",B2,6776,core
378,"burial",B2,6795,core
379,"breakdown",B2,6800,core
380,"swan",B2,6819,core
381,"moonlight",B2,6821,core
382,"loneliness",B2,6845,core
383,"duel",B2,6872,core
384,"carnival",B2,6876,core
385,"tray",B2,6882,core
386,"barrier",B2,6887,core
387,"yacht",B2,6892,core
388,"thoughtful",B2,6894,core
389,"hairy",B2,6898,core
390,"childish",B2,6905,core
391,"lease",B2,6908,core
392,"lyrics",B2,6925,core
393,"universal",B2,6928,core
394,"owl",B2,6938,core
395,"compromised",C1,6940,core
396,"cane",B2,6942,core
397,"forensic",C1,6949,core
398,"rider",B2,6959,core
399,"untie",B2,7010,core
400,"waist",B2,7038,core
401,"marketing",B2,7052,core
402,"exhibit",B2,7057,core
403,"foreman",B2,7065,core
404,"facial",C1,7066,core
405,"spa",B2,7086,core
406,"confront",B2,7101,core
407,"utterly",B2,7102,core
408,"coconut",B2,7115,core
409,"meaningless",C1,7125,core
410,"keeper",B2,7156,core
411,"collector",B2,7163,core
412,"lid",B2,7168,core
413,"glow",B2,7170,core
414,"partnership",B2,7184,core
415,"porch",B2,7190,core
416,"detect",B2,7228,core
417,"salon",B2,7235,core
418,"mustache",B2,7240,core
419,"offence",B2,7241,core
420,"peach",B2,7269,core
421,"humiliating",B2,7288,core
422,"battlefield",B2,7295,core
423,"unlock",B2,7305,core
424,"mint",B2,7312,core
425,"fuse",C1,7314,core
426,"recognition",B2,7325,core
427,"urban",B2,7346,core
428,"obligation",B2,7364,core
429,"classy",C1,7375,core
430,"millionaire",B2,7389,core
431,"intellectual",B2,7403,core
432,"offend",B2,7411,core
433,"overtime",B2,7425,core
434,"preacher",C1,7450,core
435,"resignation",B2,7472,core
436,"injection",B2,7489,core
437,"reform",B2,7492,core
438,"virtually",B2,7495,core
439,"premises",C1,7544,core
440,"underestimate",B2,7583,core
441,"concerning",B2,7601,core
442,"dental",B2,7607,core
443,"bomber",B2,7624,core
444,"boiling",B2,7626,core
445,"tramp",B2,7632,core
446,"hardware",B2,7644,core
447,"initiative",B2,7651,core
448,"distraction",B2,7655,core
449,"entertaining",B2,7658,core
450,"banker",B2,7682,core
451,"temptation",B2,7694,core
452,"detailed",B2,7703,core
453,"dove",B2,7707,core
454,"carrier",C1,7731,core
455,"specialty",B2,7753,core
456,"knot",B2,7767,core
457,"nursery",B2,7785,core
458,"terrace",B2,7795,core
459,"alter",B2,7796,core
460,"trainer",B2,7810,core
461,"father-in-law",B2,7816,core
462,"injustice",C1,7828,core
463,"blossom",B2,7833,core
464,"fundamental",B2,7870,core
465,"potentially",B2,7873,core
466,"province",B2,7901,core
467,"triangle",B2,7905,core
468,"temporarily",B2,7915,core
469,"extension",B2,7927,core
470,"recommendation",B2,7944,core
471,"microphone",B2,7946,core
472,"reconsider",B2,7950,core
473,"overboard",B2,7954,core
474,"facilities",B2,7962,core
475,"boxer",B2,7973,core
476,"whilst",C1,7974,core
477,"elaborate",C1,7976,core
478,"maestro",B2,7978,core
479,"involvement",B2,7983,core
480,"mechanism",C1,7994,core
481,"yummy",B2,8002,core
482,"grown-up",B2,8016,core
483,"chancellor",B2,8023,core
484,"gardener",B2,8032,core
485,"psychiatric",C1,8042,core
486,"dwarf",B2,8051,core
487,"pint",B2,8054,core
488,"boost",B2,8062,core
489,"gaze",B2,8067,core
490,"presidential",B2,8086,core
491,"rental",B2,8087,core
492,"dorm",B2,8104,core
493,"dismiss",B2,8131,core
494,"coverage",C1,8141,core
495,"overall",B2,8144,core
496,"daughter-in-law",B2,8157,core
497,"harassment",C1,8176,core
498,"housekeeper",B2,8182,core
499,"long-term",B2,8184,core
500,"zoom",B2,8191,core
501,"portion",B2,8192,core
502,"telescope",B2,8212,core
503,"verse",B2,8213,core
504,"distinguished",B2,8219,core
505,"addicted",B2,8221,core
506,"penguin",B2,8248,core
507,"peacefully",B2,8257,core
508,"dearly",B2,8264,core
509,"humiliation",B2,8265,core
510,"bidding",B2,8277,core
511,"pentagon",B2,8281,core
512,"regime",B2,8290,core
513,"contempt",B2,8291,core
514,"tackle",B2,8297,core
515,"wage",B2,8298,core
516,"scooter",B2,8305,core
517,"artery",B2,8393,core
518,"dynamic",B2,8394,core
519,"carpenter",C1,8403,core
520,"unbearable",B2,8413,core
521,"employer",B2,8431,core
522,"funky",B2,8454,core
523,"consultant",B2,8460,core
524,"unacceptable",B2,8477,core
525,"ox",B2,8497,core
526,"nightclub",B2,8510,core
527,"strap",C1,8579,core
528,"lighten",B2,8596,core
529,"translator",B2,8600,core
530,"understandable",B2,8609,core
531,"transition",B2,8634,core
532,"shaken",B2,8648,core
533,"mamma",B2,8685,core
534,"priceless",B2,8733,core
535,"screenplay",C1,8763,core
536,"yield",B2,8788,core
537,"belongings",B2,8798,core
538,"feedback",B2,8806,core
539,"exquisite",B2,8808,core
540,"pickle",B2,8809,core
541,"secondary",B2,8817,core
542,"pajamas",B2,8818,core
543,"liberal",B2,8831,core
544,"bun",B2,8833,core
545,"lava",B2,8844,core
546,"cuff",B2,8868,core
547,"fascinated",B2,8884,core
548,"bourbon",B2,8904,core
549,"torment",C1,8930,core
550,"openly",B2,8941,core
551,"soaked",B2,8945,core
552,"skilled",B2,8967,core
553,"ghetto",B2,8984,core
554,"marathon",B2,8996,core
555,"karaoke",B2,9015,core
556,"frontier",B2,9073,core
557,"greatness",B2,9089,core
558,"secondly",B2,9111,core
559,"flick",C1,9115,core
560,"tailor",C1,9119,core
561,"packet",B2,9123,core
562,"genuinely",B2,9126,core
563,"rhyme",B2,9133,core
564,"testament",C1,9159,core
565,"privately",B2,9211,core
566,"astonishing",B2,9220,core
567,"berry",B2,9228,core
568,"coral",B2,9247,core
569,"bind",B2,9287,core
570,"polo",B2,9297,core
571,"convert",B2,9315,core
572,"unload",B2,9347,core
573,"employ",B2,9374,core
574,"extensive",B2,9378,core
575,"urgently",B2,9380,core
576,"fireplace",B2,9389,core
577,"hostess",C1,9401,core
578,"mixture",B2,9409,core
579,"crocodile",B2,9430,core
580,"mist",B2,9437,core
581,"adrenaline",C1,9442,core
582,"bikini",B2,9454,core
583,"salty",B2,9459,core
584,"arch",B2,9468,core
585,"percentage",B2,9493,core
586,"bravery",B2,9494,core
587,"morality",B2,9506,core
588,"leopard",B2,9514,core
589,"vaccine",B2,9523,core
590,"motivated",B2,9524,core
591,"resolution",B2,9541,core
592,"wink",B2,9549,core
593,"assessment",B2,9551,core
594,"getaway",B2,9559,core
595,"leash",B2,9562,core
596,"refreshing",C1,9572,core
597,"cocoa",B2,9594,core
598,"nervously",B2,9605,core
599,"bouquet",C1,9607,core
600,"veteran",B2,9616,core
601,"generosity",B2,9687,core
602,"evidently",B2,9698,core
603,"evacuation",B2,9712,core
604,"closure",B2,9715,core
605,"descent",C1,9716,core
606,"excessive",B2,9721,core
607,"misunderstand",B2,9768,core
608,"unreasonable",B2,9781,core
609,"bypass",C1,9803,core
610,"pneumonia",B2,9804,core
611,"royalty",B2,9824,core
612,"insecure",C1,9837,core
613,"heroine",C1,9841,core
614,"plumbing",C1,9844,core
615,"demo",C1,9851,core
616,"relay",B2,9860,core
617,"estimated",B2,9871,core
618,"daytime",B2,9877,core
619,"dowry",B2,9878,core
620,"revealing",C1,9889,core
621,"ounce",B2,9891,core
622,"gadget",C1,9893,core
623,"console",B2,9895,core
624,"caravan",B2,9898,core
625,"willingly",B2,9921,core
626,"external",B2,9931,core
627,"quarantine",B2,9933,core
628,"squash",B2,9945,core
629,"clinical",C1,9953,core
630,"criticism",B2,9955,core
631,"separately",B2,9963,core
632,"seminar",B2,9989,core
633,"cube",B2,10010,core
634,"diversion",B2,10022,core
635,"effectively",B2,10023,core
636,"dedication",B2,10024,core
637,"batter",C1,10038,core
638,"prospect",B2,10041,core
639,"outsider",B2,10052,core
640,"cloak",C1,10100,core
641,"ax",B2,10128,core
642,"scrooge",B2,10133,core
643,"plum",B2,10182,core
644,"quarry",C1,10191,core
645,"circulation",C1,10199,core
646,"moody",B2,10208,core
647,"necessity",B2,10219,core
648,"upright",B2,10229,core
649,"trek",B2,10230,core
650,"remotely",C1,10244,core
651,"glee",B2,10245,core
652,"statistics",B2,10278,core
653,"exhausting",B2,10294,core
654,"privileged",C1,10315,core
655,"charter",C1,10343,core
656,"standby",B2,10347,core
657,"probable",B2,10362,core
658,"predictable",B2,10373,core
659,"expansion",B2,10376,core
660,"scarlet",B2,10381,core
661,"existing",B2,10393,core
662,"bumper",B2,10399,core
663,"input",B2,10407,core
664,"slash",B2,10413,core
665,"breakup",B2,10450,core
666,"honourable",B2,10453,core
667,"pi",B2,10478,core
668,"debut",C1,10481,core
669,"daft",B2,10490,core
670,"straightforward",B2,10516,core
671,"glamorous",B2,10524,core
672,"housewife",B2,10537,core
673,"stretching",C1,10544,core
674,"rejection",B2,10560,core
675,"wed",B2,10586,core
676,"user",B2,10655,core
677,"undoubtedly",B2,10658,core
678,"posh",B2,10672,core
679,"traumatic",C1,10687,core
680,"fiddle",C1,10700,core
681,"bruise",B2,10705,core
682,"funk",B2,10738,core
683,"captive",B2,10742,core
684,"icy",B2,10757,core
685,"programming",B2,10764,core
686,"seldom",B2,10770,core
687,"insensitive",C1,10779,core
688,"indulge",B2,10787,core
689,"wrench",C1,10788,core
690,"accustomed",C1,10792,core
691,"doorway",B2,10797,core
692,"fragrance",B2,10820,core
693,"needy",B2,10828,core
694,"refugee",B2,10829,core
695,"interpretation",B2,10837,core
696,"retard",B2,10844,core
697,"haunting",B2,10884,core
698,"hybrid",B2,10907,core
699,"withdrawn",C1,10946,core
700,"isolate",C1,10979,core
701,"offender",B2,11004,core
702,"seller",B2,11042,core
703,"thrilling",B2,11057,core
704,"undressed",B2,11074,core
705,"pancake",B2,11118,core
706,"liaison",C1,11126,core
707,"crater",B2,11128,core
708,"peacock",C1,11156,core
709,"cone",B2,11185,core
710,"sauna",C1,11186,core
711,"pedal",B2,11197,core
712,"coaching",B2,11210,core
713,"sparrow",B2,11225,core
714,"ingenious",C1,11231,core
715,"immortality",B2,11239,core
716,"salvage",C1,11263,core
717,"vitamin",B2,11285,core
718,"goodwill",B2,11289,core
719,"premier",C1,11333,core
720,"tyrant",B2,11347,core
721,"firstly",B2,11366,core
722,"subtitle",B2,11394,core
723,"phenomenal",C1,11402,core
724,"maneuver",C1,11404,core
725,"stepmother",B2,11469,core
726,"unnatural",B2,11473,core
727,"portable",C1,11485,core
728,"popularity",B2,11486,core
729,"sparkling",B2,11496,core
730,"unlimited",B2,11503,core
731,"vinegar",B2,11505,core
732,"honk",C1,11516,core
733,"financially",B2,11530,core
734,"clam",B2,11531,core
735,"awe",B2,11553,core
736,"extortion",C1,11560,core
737,"surroundings",B2,11585,core
738,"cardboard",B2,11605,core
739,"everlasting",B2,11609,core
740,"rural",B2,11615,core
741,"immoral",B2,11623,core
742,"usher",B2,11626,core
743,"impulsive",B2,11627,core
744,"holder",B2,11635,core
745,"journalism",B2,11638,core
746,"victorious",C1,11656,core
747,"offshore",B2,11666,core
748,"backward",B2,11680,core
749,"fiber",B2,11686,core
750,"last-minute",B2,11687,core
751,"circumstance",B2,11689,core
752,"interpret",B2,11692,core
753,"salsa",B2,11698,core
754,"formality",C1,11707,core
755,"smug",C1,11710,core
756,"mathematical",B2,11737,core
757,"upgrade",B2,11747,core
758,"rim",B2,11763,core
759,"symbolic",B2,11769,core
760,"voluntarily",C1,11782,core
761,"bankruptcy",B2,11796,core
762,"catering",B2,11813,core
763,"shaky",B2,11818,core
764,"index",B2,11844,core
765,"malfunction",C1,11863,core
766,"motorbike",B2,11869,core
767,"beforehand",C1,11885,core
768,"synthetic",C1,11891,core
769,"linen",B2,11908,core
770,"patriotic",B2,11910,core
771,"decorate",B2,11918,core
772,"balanced",B2,11983,core
773,"mango",B2,12055,core
774,"miniature",B2,12063,core
775,"span",B2,12072,core
776,"windshield",B2,12085,core
777,"winding",B2,12105,core
778,"dominate",B2,12127,core
779,"soaking",B2,12201,core
780,"navigation",B2,12204,core
781,"amazingly",B2,12217,core
782,"landlady",B2,12251,core
783,"provisions",C1,12310,core
784,"preferably",B2,12315,core
785,"catastrophic",B2,12322,core
786,"climax",C1,12339,core
787,"craving",C1,12348,core
788,"troublesome",B2,12356,core
789,"rubble",B2,12357,core
790,"disregard",B2,12392,core
791,"unstoppable",B2,12476,core
792,"intersection",B2,12501,core
793,"gateway",B2,12525,core
794,"zebra",B2,12535,core
795,"analyst",B2,12537,core
796,"credible",C1,12560,core
797,"tinker",C1,12579,core
798,"tangled",C1,12583,core
799,"overly",B2,12590,core
800,"appalling",C1,12595,core
801,"picky",B2,12612,core
802,"manufacturing",B2,12619,core
803,"proudly",B2,12623,core
804,"accordingly",B2,12666,core
